userId,utcMicrosecondsSinceEpoch,jointHeadX,jointHeadY,jointHeadZ,jointNeckX,jointNeckY,jointNeckZ,jointLeftShoulderX,jointLeftShoulderY,jointLeftShoulderZ,jointRightShoulderX,jointRightShoulderY,jointRightShoulderZ,jointLeftElbowX,jointLeftElbowY,jointLeftElbowZ,jointRightElbowX,jointRightElbowY,jointRightElbowZ,jointLeftHandX,jointLeftHandY,jointLeftHandZ,jointRightHandX,jointRightHandY,jointRightHandZ,jointTorsoX,jointTorsoY,jointTorsoZ,jointLeftHipX,jointLeftHipY,jointLeftHipZ,jointRightHipX,jointRightHipY,jointRightHipZ,jointLeftKneeX,jointLeftKneeY,jointLeftKneeZ,jointRightKneeX,jointRightKneeY,jointRightKneeZ,jointLeftFootX,jointLeftFootY,jointLeftFootZ,jointRightFootX,jointRightFootY,jointRightFootZ
1, 1638291731635552, -55.4605, 481.257, 1963.9, -66.177, 317.823, 1989.54, -135.657, 339.046, 2085.89, 3.30328, 296.6, 1893.19, -135.657, 137.854, 2085.89, 48.2701, 112.285, 1880.13, -135.658, -63.3367, 2085.89, -16.9325, -77.7142, 1890.09, -78.5109, 166.434, 2013.99, -131.727, 27.5321, 2095.14, -49.9622, 2.55676, 1981.76, -137.847, -274.132, 2155.41, -28.0938, -263.959, 2129, -146.386, -561.997, 2223.16, -44.2271, -550.206, 2062.96
1, 1638291731674556, -55.5195, 481.227, 1963.75, -66.6082, 317.793, 1989.86, -135.604, 339.39, 2086.48, 2.38738, 296.196, 1893.24, -135.604, 138.199, 2086.48, 45.7617, 111.234, 1881.58, -135.604, -62.9925, 2086.48, -18.1152, -79.2794, 1890.86, -78.8676, 166.496, 2014.92, -131.722, 27.9064, 2096.84, -50.5323, 2.49272, 1983.14, -135.298, -274.203, 2155, -26.3491, -275.57, 2107.02, -148.034, -561.136, 2225.8, -43.4026, -564.032, 2100.1
1, 1638291731708823, -55.6563, 480.338, 1965.17, -66.5101, 317.324, 1990.62, -135.731, 338.894, 2087.08, 2.71042, 295.754, 1894.15, -135.73, 137.702, 2087.08, 44.3962, 109.944, 1881.12, -135.731, -63.4887, 2087.08, -19.0134, -80.7221, 1890.86, -78.6284, 166.025, 2015.75, -131.474, 27.4179, 2097.64, -50.0192, 2.0356, 1984.12, -135.012, -274.848, 2155.05, -24.4554, -265.646, 2129.36, -146.603, -563.048, 2220.61, -41.4075, -550.94, 2061.84
1, 1638291731741943, -55.977, 479.776, 1965.38, -66.1943, 316.783, 1990.3, -136.544, 337.788, 2086.06, 4.1551, 295.777, 1894.53, -136.543, 136.597, 2086.06, 43.0286, 109.865, 1882.04, -136.544, -64.5939, 2086.06, -18.8866, -81.3876, 1889.4, -78.0862, 165.359, 2014.77, -131.373, 26.2962, 2095.6, -48.5828, 1.57565, 1982.9, -135.254, -275.953, 2153.11, -24.0134, -277.773, 2104.09, -146.024, -564.919, 2215.46, -42.4823, -565.773, 2095.97
1, 1638291731775290, -56.208, 479.295, 1964.99, -66.1811, 316.644, 1989.7, -136.127, 337.842, 2085.73, 3.76502, 295.445, 1893.68, -136.127, 136.651, 2085.73, 43.8373, 111.028, 1881.45, -136.128, -64.5402, 2085.73, -16.9209, -80.6458, 1887.65, -78.5387, 165.248, 2014.12, -132.051, 26.3243, 2095.04, -49.742, 1.37939, 1982.05, -136.175, -275.5, 2154.71, -26.7546, -266.948, 2126.33, -146.418, -564.56, 2216.83, -42.6186, -551.853, 2060.23
1, 1638291731809994, -56.306, 479.776, 1965.29, -66.0814, 316.453, 1990.05, -135.492, 337.202, 2086.56, 3.32925, 295.705, 1893.54, -135.492, 136.011, 2086.56, 46.7474, 109.176, 1881.03, -135.492, -65.18, 2086.56, -19.3545, -80.577, 1888.93, -77.9777, 164.956, 2014.06, -130.715, 25.6669, 2094.86, -49.0333, 1.24997, 1981.29, -134.36, -276.046, 2155.14, -24.8627, -276.603, 2106.94, -143.435, -565.249, 2216.85, -43.2411, -566.312, 2083.43
1, 1638291731842928, -56.4354, 481.022, 1966.94, -66.058, 317.027, 1990.59, -136.33, 337.306, 2086.58, 4.21425, 296.748, 1894.61, -136.33, 136.115, 2086.58, 48.4263, 109.216, 1881.33, -136.331, -65.0763, 2086.58, -18.6766, -80.2097, 1889.8, -77.5859, 165.434, 2014.18, -130.462, 25.7731, 2094.25, -47.7654, 1.90892, 1981.29, -135.261, -275.976, 2154.27, -23.249, -263.513, 2130.8, -145.004, -565.03, 2216.6, -41.7047, -553.432, 2052.1
1, 1638291731871512, -56.2902, 480.454, 1968.27, -65.6967, 317.499, 1990.83, -136.641, 337.237, 2086.43, 5.2471, 297.761, 1895.23, -136.64, 136.046, 2086.43, 48.4629, 110.644, 1882.13, -136.641, -65.1454, 2086.43, -17.4038, -79.2941, 1889.07, -76.9602, 165.791, 2013.79, -129.966, 25.6958, 2093.01, -46.4809, 2.46858, 1980.51, -135.365, -275.888, 2153.81, -24.4414, -275.714, 2104.38, -143.627, -565.138, 2215.45, -41.7991, -565.521, 2093.97
1, 1638291731904694, -56.4864, 481.649, 1970.94, -66.0315, 318.417, 1991.9, -137.074, 337.463, 2087.58, 5.01051, 299.372, 1896.23, -137.073, 136.271, 2087.58, 50.5481, 112.414, 1880.67, -137.074, -64.9197, 2087.58, -16.7522, -76.9553, 1889.33, -76.7415, 166.568, 2014.18, -129.252, 25.924, 2092.75, -45.6515, 3.51193, 1980.16, -135.162, -275.556, 2154.02, -23.9659, -264.318, 2125.67, -143.257, -564.35, 2217.77, -41.2145, -549.496, 2060.54
1, 1638291731938136, -56.4209, 481.418, 1970.27, -66.453, 318.301, 1992.18, -136.507, 338.135, 2088.41, 3.60144, 298.467, 1895.94, -136.507, 136.944, 2088.41, 49.6953, 114.874, 1879.84, -136.508, -64.2468, 2088.41, -16.736, -74.7549, 1889.69, -77.7381, 166.61, 2015.23, -130.245, 26.5896, 2094.9, -47.8019, 3.24791, 1981.65, -136.519, -274.8, 2156.59, -27.6001, -275.806, 2104.58, -145.684, -563.747, 2219.5, -45.1171, -563.442, 2099.71
