subjectId,samples,startTime,startDate,endTime,endDate,minHeadDisplacement,maxHeadDisplacement,meanHeadDisplacement,rateHeadDisplacement,minTorsoDisplacement,maxTorsoDisplacement,meanTorsoDisplacement,rateTorsoDisplacement
1,47313,1636561304133000,2021-11-10 10:21:44.133000-06:00,1636562883743000,2021-11-10 10:48:03.743000-06:00,0.0666708332030827,188.57097999199132,2.971566785803152,89.00346779896249,0.0354423475520352,81.06648305243053,3.7108172086829945,111.14527242623781
2,56914,1636564532706000,2021-11-10 11:15:32.706000-06:00,1636566432016000,2021-11-10 11:47:12.016000-06:00,0.0206155281280971,262.1046793267911,1.5779251080493326,47.2826719568747,0.0492442890089876,277.2057986961312,3.9910569078636495,119.59238976114581
3,45214,1636568442683000,2021-11-10 12:20:42.683000-06:00,1636569951672000,2021-11-10 12:45:51.672000-06:00,0.0211896201004284,418.7438723200116,2.332529627799531,69.88829081040444,0.0,316.83778424495074,3.5063548809857514,105.05896546231192
4,43433,1636571905626000,2021-11-10 13:18:25.626000-06:00,1636573355148000,2021-11-10 13:42:35.148000-06:00,0.0390512483795195,386.6933801721978,8.348238060987505,250.13809756927517,0.0,252.0748193141275,10.81097788848945,323.9291239821632
5,43511,1636575765988000,2021-11-10 14:22:45.988000-06:00,1636577218359000,2021-11-10 14:46:58.359000-06:00,0.0251594912507949,104.16415433823678,2.140071372545783,64.11206600756043,0.0471699056604329,32.07621693716388,2.8496799837955598,85.37045706292953
6,35283,1636578761395000,2021-11-10 15:12:41.395000-06:00,1636579939152000,2021-11-10 15:32:19.152000-06:00,0.0219089023002022,203.6160158590096,1.9824030137669415,59.38673523632293,0.0759275970908864,107.8465413099078,3.5355669343755114,105.91477917655166
7,46522,1636664831796000,2021-11-11 15:07:11.796000-06:00,1636666385058000,2021-11-11 15:33:05.058000-06:00,0.0171464281994663,337.8838306459781,2.5832180165580927,77.36871522531195,0.0,144.56141977294632,2.6805807426017125,80.28477921083137
8,74490,1636670196050000,2021-11-11 16:36:36.050000-06:00,1636672682151000,2021-11-11 17:18:02.151000-06:00,0.0220807608564532,298.97847420635486,3.6907305758297104,110.58232544171739,0.0544353745279599,196.54131515806677,4.431362359974865,132.77326658577795
9,51769,1636733372073000,2021-11-12 10:09:32.073000-06:00,1636735100104000,2021-11-12 10:38:20.104000-06:00,0.0212132034356133,495.6394059525535,2.945966046575074,88.25464953990986,0.0353270434652902,100.12122882530954,3.624079119442865,108.56942257130744
10,46269,1636737010445000,2021-11-12 11:10:10.445000-06:00,1636738554973000,2021-11-12 11:35:54.973000-06:00,0.0172046505340649,121.74637261224672,2.3016908297384835,68.94962817788945,0.0291547594742389,67.61603769878573,2.626305825154321,78.6738200396755
