participant,session,condition,trialType,posture,blockNum,trialNum,switchTrialType,congruantTrialType,cueType,shapeType,shapeColor,response,correctResponse,correct,reactionTime,date,utcTime,jointHeadDisplacement,jointTorsoDisplacement
1,1,1,experiment,standing,1,31,switch,congruant,dashed,triangle,yellow,left,left,yes,0.3776650428771972,2021-11-10 10:22:00,1636561822.5879862,2.4150288337959362,1.985542993714714
1,1,1,experiment,standing,1,32,noswitch,incongruant,dashed,square,yellow,right,right,yes,0.680729866027832,2021-11-10 10:22:00,1636561824.6562614,2.392201702995399,2.032999221492907
1,1,1,experiment,standing,1,33,switch,congruant,solid,triangle,yellow,right,right,yes,0.5053868293762207,2021-11-10 10:22:00,1636561826.4857872,2.538280577062009,2.3531273257607515
1,1,1,experiment,standing,1,34,noswitch,congruant,solid,triangle,yellow,right,right,yes,0.6477999687194824,2021-11-10 10:22:00,1636561828.4941642,2.5405637615616654,2.0230589869368742
1,1,1,experiment,standing,1,35,switch,incongruant,dashed,triangle,blue,left,left,yes,0.7487850189208984,2021-11-10 10:22:00,1636561830.5609598,2.4626991329468546,2.3633798858151596
1,1,1,experiment,standing,1,36,switch,incongruant,solid,square,yellow,right,right,yes,0.8563470840454102,2021-11-10 10:22:00,1636561832.7458172,2.2588353742322185,2.167549667979657
1,1,1,experiment,standing,1,37,noswitch,incongruant,solid,square,blue,left,left,yes,1.092216968536377,2021-11-10 10:22:00,1636561835.1689143,2.5436156710173488,2.3196042433411335
1,1,1,experiment,standing,1,38,noswitch,incongruant,solid,triangle,yellow,right,right,yes,0.7904999256134033,2021-11-10 10:22:00,1636561837.2953875,2.4919506078956313,2.366299379544647
1,1,1,experiment,standing,1,39,noswitch,incongruant,solid,triangle,blue,left,left,yes,0.4217410087585449,2021-11-10 10:22:00,1636561839.0715208,2.2980408943507196,2.2059361015912278
1,1,1,experiment,standing,1,40,noswitch,incongruant,solid,square,yellow,right,right,yes,0.5859959125518799,2021-11-10 10:22:00,1636561841.0211515,2.58814753541726,2.3949798302727543
